TIME s, IN1D, IN2D,TIME sT, IN1T,IN2T
385.742,-0.870814,-0.484438,385.742,-0.870814,-0.472811
380.859,-0.882234,-0.462476,380.859,-0.879379,-0.49994
375.977,-0.887944,-0.490897,375.977,-0.887944,-0.47927
371.094,-0.89651,-0.503815,371.094,-0.89651,-0.470227
366.211,-0.90222,-0.476687,366.211,-0.90222,-0.498648
361.328,-0.913641,-0.47927,361.328,-0.910785,-0.502523
356.445,-0.919351,-0.503815,356.445,-0.916496,-0.472811
351.563,-0.927916,-0.485729,351.563,-0.925061,-0.489605
346.68,-0.936482,-0.474103,346.68,-0.933626,-0.512858
341.797,-0.942192,-0.503815,341.797,-0.942192,-0.484438
336.914,-0.947902,-0.510274,336.914,-0.947902,-0.476687
332.031,-0.959323,-0.477978,332.031,-0.959323,-0.511566
327.148,-0.965033,-0.501231,327.148,-0.962178,-0.505107
322.266,-0.973598,-0.518025,322.266,-0.973598,-0.47927
317.383,-0.979308,-0.494772,317.383,-0.979308,-0.507691
312.5,-0.990729,-0.484438,312.5,-0.987874,-0.520609
307.617,-0.996439,-0.512858,307.617,-0.993584,-0.489605
