TIME s, IN1D,IN2D,TIME sT,IN1T, IN2T
864.258,-0.11135,1.238093,864.258,-0.11135,-0.020928
859.375,-0.119915,1.20373,859.375,-0.12277,-0.027387
854.492,-0.128481,1.185386,854.492,-0.128481,-0.033329
849.609,-0.134191,1.156449,849.609,-0.137046,-0.029971
844.727,-0.142756,1.140947,844.727,-0.142756,-0.030487
839.844,-0.151322,1.121311,839.844,-0.151322,-0.038755
834.961,-0.159887,1.08514,834.961,-0.162742,-0.040564
830.078,-0.168452,1.082815,830.078,-0.168452,-0.036688
825.195,-0.177018,1.052586,825.195,-0.177018,-0.043664
820.313,-0.182728,1.029591,820.313,-0.182728,-0.048573
815.43,-0.194149,1.013056,815.43,-0.194149,-0.043922
810.547,-0.199859,0.990061,810.547,-0.199859,-0.045989
805.664,-0.208424,0.973267,805.664,-0.208424,-0.053224
800.781,-0.214135,0.939421,800.781,-0.214135,-0.050898
795.898,-0.2227,0.935287,795.898,-0.2227,-0.050382
791.016,-0.22841,0.910743,791.016,-0.22841,-0.056582
786.133,-0.239831,0.883356,786.133,-0.239831,-0.060199
781.25,-0.245541,0.874055,781.25,-0.245541,-0.055032
776.367,-0.251251,0.849251,776.367,-0.251251,-0.059166
771.484,-0.259817,0.832716,771.484,-0.259817,-0.065108
766.602,-0.268382,0.805587,766.602,-0.268382,-0.061491
761.719,-0.276947,0.796803,761.719,-0.276947,-0.060716
756.836,-0.285513,0.77665,756.836,-0.285513,-0.06795
751.953,-0.291223,0.746163,751.953,-0.294078,-0.068984
747.07,-0.299788,0.742804,747.07,-0.299788,-0.064075
742.188,-0.308354,0.720585,742.188,-0.305499,-0.070276
737.305,-0.316919,0.69759,737.305,-0.316919,-0.07441
732.422,-0.322629,0.68183,732.422,-0.322629,-0.069759
727.539,-0.331195,0.66917,727.539,-0.33405,-0.070017
722.656,-0.33976,0.649534,722.656,-0.33976,-0.076993
717.773,-0.348325,0.624472,717.773,-0.348325,-0.074926
712.891,-0.354036,0.620855,712.891,-0.356891,-0.072601
708.008,-0.362601,0.600703,708.008,-0.362601,-0.078543
703.125,-0.368311,0.576416,703.125,-0.371166,-0.082161
698.242,-0.376877,0.567115,698.242,-0.376877,-0.075701
693.359,-0.382587,0.551871,693.359,-0.382587,-0.078027
688.477,-0.394008,0.532235,688.477,-0.394008,-0.085261
683.594,-0.399718,0.511824,683.594,-0.399718,-0.08061
678.711,-0.408283,0.507174,678.711,-0.408283,-0.079319
673.828,-0.419704,0.487021,673.828,-0.416849,-0.086294
668.945,-0.425414,0.465318,668.945,-0.425414,-0.08707
664.063,-0.433979,0.459634,664.063,-0.433979,-0.081386
659.18,-0.43969,0.443616,659.18,-0.43969,-0.086811
654.297,-0.448255,0.42553,654.297,-0.448255,-0.09017
649.414,-0.45682,0.409511,649.414,-0.453965,-0.085519
644.531,-0.465386,0.402277,644.531,-0.465386,-0.084744
639.648,-0.471096,0.383933,639.648,-0.471096,-0.090945
634.766,-0.479661,0.366364,634.766,-0.479661,-0.09017
629.883,-0.485372,0.361713,629.883,-0.485372,-0.085519
625,-0.496792,0.346986,625,-0.496792,-0.091462
620.117,-0.502502,0.329676,620.117,-0.502502,-0.094562
615.234,-0.508213,0.318566,615.234,-0.508213,-0.088361
610.352,-0.516778,0.31004,610.352,-0.516778,-0.089395
605.469,-0.525343,0.293763,605.469,-0.525343,-0.095596
600.586,-0.533909,0.278261,600.586,-0.533909,-0.092237
595.703,-0.542474,0.273869,595.703,-0.542474,-0.089912
590.82,-0.551039,0.260434,590.82,-0.551039,-0.095596
585.938,-0.55675,0.244673,585.938,-0.55675,-0.097146
581.055,-0.565315,0.236922,581.055,-0.56817,-0.091203
576.172,-0.571025,0.228396,576.172,-0.571025,-0.095079
571.289,-0.576736,0.212377,571.289,-0.579591,-0.09973
566.406,-0.588156,0.199459,566.406,-0.588156,-0.094304
561.523,-0.593866,0.196875,561.523,-0.596722,-0.092754
556.641,-0.602432,0.182149,556.641,-0.602432,-0.099213
551.758,-0.610997,0.168972,551.758,-0.613852,-0.099471
546.875,-0.616707,0.163804,546.875,-0.619563,-0.093529
541.992,-0.625273,0.155795,541.992,-0.625273,-0.099213
537.109,-0.633838,0.140551,537.109,-0.633838,-0.102313
532.227,-0.639548,0.13125,532.227,-0.642404,-0.096112
527.344,-0.648114,0.129442,527.344,-0.648114,-0.096629
522.461,-0.656679,0.114715,522.461,-0.656679,-0.10283
517.578,-0.665245,0.10283,517.578,-0.665245,-0.09973
512.695,-0.67381,0.100505,512.695,-0.67381,-0.097146
507.813,-0.682375,0.091979,507.813,-0.67952,-0.10283
502.93,-0.688086,0.078543,502.93,-0.688086,-0.104639
498.047,-0.699506,0.072859,498.047,-0.699506,-0.098438
493.164,-0.705216,0.069759,493.164,-0.705216,-0.100505
488.281,-0.710927,0.05374,488.281,-0.710927,-0.106189
483.398,-0.719492,0.045473,483.398,-0.719492,-0.10128
478.516,-0.725202,0.045214,478.516,-0.725202,-0.099213
