TIME s, IN1D, IN2D,TIME sT, IN1T, IN2T
1.343,-1.34191,-0.109806,1.343,-1.339054,-0.112648
1.338,-1.34762,-0.115232,1.338,-1.34762,-0.106189
1.333,-1.356185,-0.116782,1.333,-1.35333,-0.10438
1.328,-1.364751,-0.112131,1.328,-1.364751,-0.112131
1.323,-1.373316,-0.111098,1.323,-1.370461,-0.109031
1.318,-1.379026,-0.116523,1.318,-1.379026,-0.10438
1.313,-1.390447,-0.114456,1.313,-1.387592,-0.110323
1.309,-1.399012,-0.109806,1.309,-1.396157,-0.113681
1.304,-1.404722,-0.116523,1.304,-1.404722,-0.106705
1.299,-1.413288,-0.117815,1.299,-1.410433,-0.108772
1.294,-1.418998,-0.111614,1.294,-1.418998,-0.11394
1.289,-1.427563,-0.112131,1.289,-1.424708,-0.109289
1.284,-1.436129,-0.117557,1.284,-1.433274,-0.105414
1.279,-1.441839,-0.114715,1.279,-1.441839,-0.111614
1.274,-1.45326,-0.111614,1.274,-1.450404,-0.112906
1.27,-1.456115,-0.117557,1.27,-1.456115,-0.106447
1.265,-1.467535,-0.117815,1.265,-1.46468,-0.109289
1.26,-1.473245,-0.111614,1.26,-1.473245,-0.114973
1.255,-1.481811,-0.11549,1.255,-1.478956,-0.108772
1.25,0.502502,0.451367,1.25,0.505357,0.421138
1.245,0.493937,0.657027,1.245,0.496792,0.455242
1.24,0.485372,0.678988,1.24,0.488227,0.467385
1.235,0.476806,0.713867,1.235,0.479661,0.475911
1.23,0.471096,0.739187,1.23,0.471096,0.470486
1.226,0.465386,0.752881,1.226,0.465386,0.462993
1.221,0.453965,0.770191,1.221,0.45682,0.464802
1.216,0.4454,0.75934,1.216,0.45111,0.456792
1.211,0.43969,0.784918,1.211,0.43969,0.443099
1.206,0.431124,0.779234,1.206,0.431124,0.43819
1.201,0.422559,0.769158,1.201,0.425414,0.433281
1.196,0.413993,0.781043,1.196,0.416849,0.417779
1.191,0.408283,0.771483,1.191,0.411138,0.405377
1.187,0.399718,0.769416,1.187,0.399718,0.402019
